region_name,factors,t_test,factors_significant,F_test,shapiro,het_breuschpagan,durbin_watson,vif,add_const,coefs,mape
Ростовская область,"['area', 'levels', 'object_type', 'rooms', 'date_encoded', 'kitchen_area']","[True, True, True, True, True, True, True]","['area', 'levels', 'object_type', 'rooms', 'date_encoded', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[  56585.80558464   34672.51885292  -54757.67979151 -234461.2413249
     240.18998271   12515.11489313]",0.2158458430925294
Республика Коми,"['area', 'levels', 'kitchen_area', 'object_type', 'date_encoded', 'level']","[True, True, True, True, True, True, True]","['area', 'levels', 'kitchen_area', 'object_type', 'date_encoded', 'level']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[ 35171.90526069  85043.82993275  33086.06038069 -47954.75629215
  -2863.03255546   9003.5964623 ]",0.3078299023684677
Челябинская область,"['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'building_type', 'rooms']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'building_type', 'rooms']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[ 35316.24314837  39400.36106599    400.58786463  13861.05508015
 -17864.69022234 -51343.80119025 -86888.31241474]",0.1876221106650494
Иркутская область,"['area', 'levels', 'date_encoded', 'rooms', 'kitchen_area', 'object_type', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'rooms', 'kitchen_area', 'object_type', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  52074.81268527   78234.11280381   21902.95090775 -346982.45393209
   -2891.06853989  -24600.08741415  -56361.42127723]",0.33348570456606325
Ленинградская область,"['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'level']","[True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'level']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[ 41677.62366837  70349.03158028  24852.90773055  63023.20095446
 -31552.31916112  -1061.55913073]",0.33823933280083573
Пермский край,"['area', 'levels', 'date_encoded', 'kitchen_area', 'rooms', 'level', 'object_type']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'rooms', 'level', 'object_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  43404.85489455   35953.78185504   10615.22042927   22716.63996056
 -129891.23931278    5496.96017503   -5714.63520394]",0.23781033223309445
Алтайский край,"['area', 'levels', 'date_encoded', 'rooms', 'object_type', 'building_type', 'kitchen_area']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'rooms', 'object_type', 'building_type', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  47358.09269256   55660.40149526    4738.60730548 -283932.49741464
  -30473.95103928  -10456.3086615    -1046.02851322]",0.23775234887722008
Республика Бурятия,"['area', 'date_encoded', 'levels', 'building_type']","[True, True, True, True, True]","['area', 'date_encoded', 'levels', 'building_type']",True,False,False,True,"[False, True, True, True, True]",False,[  39459.89494309   31713.9727279    52962.41743022 -192739.60073133],0.2529767436577236
Ярославская область,"['area', 'rooms', 'date_encoded', 'kitchen_area', 'levels', 'building_type', 'object_type']","[True, True, True, True, True, True, True, True]","['area', 'rooms', 'date_encoded', 'kitchen_area', 'levels', 'building_type', 'object_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  60869.41732618 -402546.00388169    5853.60045291   17105.49421926
    2926.297247    -60214.40494713   -7946.97824725]",0.23909566649434927
Удмуртская Республика,"['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'building_type', 'level']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'building_type', 'level']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  38288.88409392   44935.3752562     7960.56022384   23383.26960735
   -7849.59293464 -129335.67813378   10451.29123598]",0.18840251348183698
Псковская область,"['area', 'date_encoded', 'levels', 'rooms', 'object_type', 'kitchen_area', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'levels', 'rooms', 'object_type', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  43042.84128217   10702.269334      3693.00615804 -194637.47901734
  -10483.85570768    6659.53377881  -37841.38556485]",0.19504646621620964
Республика Северная Осетия — Алания,"['area', 'date_encoded', 'levels', 'level', 'rooms', 'kitchen_area', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'levels', 'level', 'rooms', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[ 33616.73752999  10056.80798276  58754.13676049 -61736.18052856
  62939.48217927  12646.16632566 -60870.54173522]",0.22393447408698047
Кемеровская область,"['area', 'levels', 'rooms', 'date_encoded', 'object_type', 'building_type']","[True, True, True, True, True, True, True]","['area', 'levels', 'rooms', 'date_encoded', 'object_type', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[ 4.57642356e+04  6.86356487e+04 -2.43407775e+05  9.38758901e+01
 -3.35646471e+04 -5.68683489e+04]",0.27642861372473704
Чувашская Республика,"['area', 'kitchen_area', 'date_encoded', 'building_type', 'levels', 'object_type', 'level']","[True, True, True, True, True, True, True, True]","['area', 'kitchen_area', 'date_encoded', 'building_type', 'levels', 'object_type', 'level']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[ 34385.64743095  57298.588918     2233.1475479   20422.65557074
   4765.67048952 -29814.83661154  -1106.34296685]",0.2294286478519453
Республика Марий Эл,"['area', 'kitchen_area', 'date_encoded', 'building_type', 'object_type', 'levels', 'level']","[True, True, True, True, True, True, True, True]","['area', 'kitchen_area', 'date_encoded', 'building_type', 'object_type', 'levels', 'level']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[ 29095.4976079   61503.97323522   -240.21342715 -12132.81563398
 -22891.62101337  11452.24272204  -3010.96830825]",0.2150848213347099
Кабардино-Балкарская Республика,"['area', 'object_type', 'levels', 'date_encoded', 'level', 'rooms', 'kitchen_area', 'building_type']","[True, True, True, True, True, True, True, True, True]","['area', 'object_type', 'levels', 'date_encoded', 'level', 'rooms', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True, True]",False,"[ 35710.01535724 -66003.25512965  48610.41155155   6330.26164824
 -26186.3622388   61772.80131847  11733.90289384 -52417.21098695]",0.2726987634342817
